"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.167752109E0,1.437371731E0,-2.083679199E0,2.419170618E0
1.172756992E0,7.208328247E-1,-2.613358498E0,1.126333237E0
1.177761874E0,-2.297956944E-1,-2.699616432E0,-3.171349764E-1
1.182766757E0,-8.389929533E-1,-2.022457123E0,-2.014682293E0
1.187771640E0,-1.460571051E0,-1.008400917E0,-3.870559454E0
1.192807040E0,-1.517839670E0,-2.265357971E-1,-4.676166058E0
1.197811923E0,-7.821978331E-1,7.791309357E-1,-3.916197777E0
1.202816806E0,-1.067230105E0,1.672492981E0,-3.507060766E0
1.207821689E0,-1.896941662E0,1.638208389E0,-3.488245010E0
1.212826572E0,-1.044386387E0,1.211615562E0,-2.739516973E0
1.217861972E0,-7.262024879E-1,4.542226791E-1,-2.401968002E0
1.222866855E0,-1.042399645E0,2.232551575E-3,-1.714691401E0
1.227871738E0,-1.190726757E0,7.577056885E-1,-4.187797904E-1
1.232876621E0,-1.228258610E-1,3.564405441E-1,1.410696149E0
1.237881503E0,3.356680870E-1,-1.592922211E-1,2.248145819E0
1.242916904E0,-9.741017818E-1,-1.097890854E0,2.786820650E0
1.247921787E0,-1.799220562E0,-2.317535400E0,1.671424985E0
1.252926669E0,1.330227613E0,-3.884355545E0,1.213593364E0
1.257931552E0,1.341299057E0,-4.961470604E0,-1.874953508E-1
1.262936435E0,-1.262631893E0,-4.810359001E0,-2.057856560E0
1.267971835E0,-1.240687490E0,-3.359642029E0,-3.262537122E-1
1.272976718E0,-2.124416828E0,-2.264892578E0,-7.378891706E-1
1.277981601E0,-7.695064545E0,-1.408500671E-1,-4.676621914E0
1.282986484E0,-1.626854539E0,-2.018585205E-1,-4.087890148E0
1.287991367E0,3.119591713E0,3.933620453E-2,-1.879840136E0
1.293026767E0,3.402579784E0,1.864334106E0,-2.605947018E0
1.298031650E0,3.076245070E0,4.298653603E0,-3.294831514E0
1.303036533E0,2.800294399E0,5.497971535E0,-3.344282627E0
1.308041415E0,2.790123224E0,5.852991104E0,-2.821271420E0
1.313046298E0,2.173723221E0,5.865394592E0,-2.110410452E0
1.318051181E0,2.701802492E0,6.111289024E0,-8.286203742E-1
1.323086581E0,3.204983950E0,6.324152946E0,1.661396623E-1
1.328091464E0,2.685827255E0,4.759433746E0,1.024691343E0
1.333096347E0,2.640399933E0,2.817433357E0,2.024661064E0
1.338101230E0,2.375655651E0,1.983681679E0,2.154980898E0
1.343106113E0,1.978915930E0,1.661067963E0,1.568023205E0
1.348141513E0,1.590057015E0,1.197776794E0,9.066434503E-1
1.353146396E0,8.412504196E-1,4.010581970E-1,1.585574746E-1
1.358151279E0,9.632968903E-1,4.742965698E-1,-2.644477487E-1
1.363156162E0,1.009685040E0,5.462360382E-1,-8.872197866E-1
1.368161044E0,1.703604460E-1,-2.822303772E-2,-1.528197885E0
1.373196445E0,-1.261377335E-1,-3.651838303E-1,-1.596708179E0
1.378201328E0,-4.001638889E-1,-3.823413849E-1,-1.574101210E0
1.383206210E0,-4.847865105E-1,-3.503627777E-1,-1.495983720E0
1.388211093E0,-8.119235039E-1,-3.864183426E-1,-1.484876633E0
1.393215976E0,-1.093057632E0,-4.856672287E-1,-1.305461168E0
1.398251376E0,-1.376239061E0,-4.486637115E-1,-1.006198406E0
1.403256259E0,-1.608063698E0,-4.278345108E-1,-8.811038733E-1
1.408261142E0,-1.484270811E0,-2.357892990E-1,-9.151371717E-1
1.413266025E0,-1.452222109E0,-2.473268509E-1,-1.015327334E0
1.418270908E0,-1.598233938E0,-5.151662827E-1,-8.480014205E-1
1.423306308E0,-1.848597765E0,-7.842044830E-1,-6.324827075E-1
1.428311191E0,-1.946814537E0,-7.697944641E-1,-6.344600916E-1
1.433316074E0,-1.969147682E0,-4.786100388E-1,-2.933700085E-1
1.438320956E0,-1.970953941E0,-1.529264450E-1,-1.038961411E-1
1.443325839E0,-1.624985933E0,7.171440125E-2,6.782329082E-2
1.448361240E0,-1.331147194E0,3.232202530E-1,2.725588083E-1
1.453366122E0,-1.229839325E0,6.463317871E-1,5.807884932E-1
1.458371005E0,-1.080299616E0,1.063467979E0,1.001998663E0
1.463375888E0,-1.083495855E0,1.436048508E0,1.156004190E0
1.468380771E0,-1.092831850E0,1.555568695E0,1.109591365E0
1.473416171E0,-9.706671238E-1,1.446102142E0,1.255282879E0
1.478421054E0,-9.820437431E-1,1.102184296E0,1.795313835E0
1.483425937E0,-1.247648716E0,9.311122894E-1,1.866816759E0
1.488430820E0,-1.419378281E0,7.740650177E-1,2.408324718E0
1.493435703E0,-1.857653856E0,7.068271637E-1,2.279711723E0
1.498471103E0,-2.198033333E0,5.047883987E-1,1.436727524E0
1.503475986E0,-2.365577221E0,1.457490921E-1,9.519599676E-1
1.508480869E0,-2.763446331E0,-2.163925171E-1,6.020721197E-1
1.513485751E0,-2.959178925E0,-3.703918457E-1,8.005675077E-1
1.518490634E0,-2.952079296E0,-3.814153671E-1,9.937796593E-1
1.523526035E0,-2.828938961E0,-3.975000381E-1,8.814195395E-1
1.528530917E0,-2.784658909E0,-5.916013718E-1,8.710141182E-1
1.533535800E0,-2.831587315E0,-7.373561859E-1,8.405138254E-1
1.538540683E0,-2.823093891E0,-7.158298492E-1,5.548539162E-1
1.543545566E0,-2.801497936E0,-7.709045410E-1,3.507279158E-1
1.548580966E0,-2.884114265E0,-8.742742538E-1,2.434114218E-1
1.553585849E0,-2.858507633E0,-1.098666191E0,1.961596012E-1
1.558590732E0,-2.803050041E0,-1.236897469E0,2.767395973E-2
1.563595615E0,-2.815442085E0,-1.347558022E0,-1.176329851E-1
1.568600497E0,-2.838755608E0,-1.434638023E0,-2.586098909E-1
1.573635898E0,-2.860378265E0,-1.558221817E0,-3.512146473E-1
1.578640781E0,-2.706199169E0,-1.695037842E0,-6.501585245E-1
1.583645664E0,-2.406534672E0,-1.912964821E0,-9.862275124E-1
1.588650546E0,-2.076645374E0,-2.114071846E0,-1.281970501E0
1.593655429E0,-1.919882298E0,-2.271283150E0,-1.475655913E0
1.598690830E0,-1.723483562E0,-2.304980278E0,-1.819157958E0
1.603695712E0,-1.577803135E0,-2.349693298E0,-2.052438259E0
1.608700595E0,-1.500288963E0,-2.462602615E0,-2.107448101E0
1.613705478E0,-1.446096420E0,-2.575366020E0,-2.033639431E0
1.618710361E0,-1.355605125E0,-2.711510658E0,-1.931635857E0
1.623745761E0,-1.466607571E0,-2.726091385E0,-1.825088978E0
1.628750644E0,-1.685734749E0,-2.607831955E0,-1.885770082E0
1.633755527E0,-1.812060356E0,-2.650509834E0,-1.814539552E0
1.638760410E0,-2.048407555E0,-2.971445084E0,-1.851649880E0
1.643765292E0,-2.692041397E0,-3.203787804E0,-1.807262301E0
1.648800693E0,-2.904911041E0,-3.418786049E0,-1.384254336E0
1.653805576E0,-3.044479370E0,-3.710744858E0,-1.285804033E0
1.658810458E0,-3.386398315E0,-3.420053482E0,-8.948253989E-1
1.663815341E0,-3.318289757E0,-2.800394058E0,1.598736048E-1
1.668820224E0,-2.684458256E0,-2.655870438E0,8.112305403E-1
1.673855624E0,-2.469608784E0,-2.630982399E0,1.143397808E0
1.678860507E0,-2.189284801E0,-2.566182137E0,1.469861507E0
1.683865390E0,-2.338879108E0,-2.467491150E0,1.457799673E0
1.688870273E0,-2.051585674E0,-2.438196182E0,1.227581739E0
1.693875156E0,-1.779289246E0,-2.578992844E0,1.151395321E0
1.698910556E0,-1.626273632E0,-2.603481293E0,1.030139446E0
1.703915439E0,-1.261290550E0,-2.642993927E0,9.978410006E-1
1.708920322E0,-6.914024353E-1,-2.735833168E0,1.045239925E0
1.713925205E0,-1.198430061E-1,-2.755024910E0,9.444215894E-1
1.718930087E0,4.256701469E-1,-2.617297173E0,7.800503969E-1
1.723965488E0,1.110910416E0,-2.572657585E0,7.528818846E-1
1.728970371E0,1.760831356E0,-2.535431862E0,5.159947872E-1
1.733975253E0,2.458043098E0,-2.629553795E0,1.772643924E-1
1.738980136E0,3.067010403E0,-2.628488541E0,-9.427359700E-2
1.743985019E0,3.737630844E0,-2.582259178E0,-1.707483232E-1
1.748989902E0,4.426139832E0,-2.489816666E0,-1.105986238E0
1.754025302E0,5.059335709E0,-1.499088287E0,-2.117211103E0
1.759030185E0,5.890623569E0,-2.385325432E0,-2.416044474E0
1.764035068E0,5.268301964E0,-2.540699005E0,-2.412062645E0
1.769039951E0,4.550698757E0,-2.401651382E0,-2.146391392E0
1.774044833E0,3.429504871E0,-2.501683235E0,-3.232687235E0
1.779080234E0,3.152525902E0,-2.555081367E0,-2.652199507E0
1.784085117E0,3.084736824E0,-3.333191872E0,-1.313536406E0
1.789089999E0,2.603552818E0,-4.409079552E0,-1.319713593E0
1.794094882E0,2.715943813E0,-4.144681931E0,-8.648272753E-1
1.799099765E0,2.701479912E0,-4.771900177E0,-2.234794199E-1
1.804135165E0,2.532852650E0,-4.697303772E0,5.342317820E-1
1.809140048E0,2.136288166E0,-5.158307076E0,4.525856078E-1
1.814144931E0,2.053595066E0,-4.635785103E0,-1.348649263E-1
1.819149814E0,2.031083584E0,-4.338788033E0,-3.831667006E-1
1.824154697E0,1.399581432E0,-3.920210838E0,-9.232242107E-1
1.829190097E0,1.512215614E0,-3.721173286E0,-1.796087027E0
1.834194980E0,1.180053234E0,-3.342192650E0,-1.681332827E0
1.839199863E0,1.455646515E0,-2.183338165E0,-6.184178591E-1
1.844204746E0,1.358108044E0,-1.077068329E0,2.851368189E-1
1.849209628E0,1.855832577E0,-2.265939713E-1,1.853594184E0
1.854245029E0,2.127845049E0,1.325159073E-1,2.493122578E0
1.859249912E0,4.431281090E0,8.428964615E-1,5.106802940E0
1.864254794E0,5.420374870E0,2.666893959E0,7.333791256E0
1.869259677E0,4.137065887E0,3.785216331E0,8.126626015E0
1.874264560E0,5.644306660E0,5.072120667E0,7.966679096E0
1.879299960E0,3.547000408E0,7.001321793E0,5.495676994E0
1.884304843E0,1.867844105E0,2.440712929E0,-3.076354980E0
1.889309726E0,4.902441025E0,6.429409981E0,-1.187977076E0
1.894314609E0,-1.843412399E0,2.179631233E0,-4.902404308E0
1.899319492E0,5.090449333E0,5.139202118E0,-1.258541584E0
1.904354892E0,-5.041376114E0,6.960020065E-1,-1.826444387E0
1.909359775E0,-4.018841743E0,-2.139114380E0,-4.347341061E0
1.914364658E0,-6.440794468E-2,5.679035187E-2,-1.640313864E0
1.919369540E0,-2.149993896E0,-1.487579346E-1,-2.701932490E-1
1.924374423E0,-4.743340492E0,-2.605072975E0,-7.409223318E-1
1.929379306E0,-3.282655954E0,-3.869599342E0,-1.285451770E0
1.934414706E0,-3.407217979E0,-3.868277550E0,-2.084676981E0
1.939419589E0,-3.881793261E0,-3.786945343E0,-6.602630615E-1
1.944424472E0,-3.815165758E0,-4.042222023E0,1.120489836E0
1.949429355E0,-3.267895460E0,-3.937738419E0,2.371978998E0
1.954434238E0,-1.820239782E0,-3.848570824E0,2.806436539E0
1.959439121E0,-1.116618991E0,-2.892665863E0,2.932861805E0
