"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.435421787E0,-4.929906845E0,8.857242584E0,7.222824097E-1
1.440426669E0,-5.029325485E0,9.150407791E0,9.351940155E-1
1.445431552E0,-4.776885986E0,9.343255997E0,1.132833481E0
1.450466953E0,-4.572059631E0,9.563653946E0,1.366107941E0
1.455471835E0,-4.555290222E0,9.856819153E0,1.706287384E0
1.460476718E0,-4.485816956E0,1.024580956E1,2.162355423E0
1.465481601E0,-4.566070557E0,1.059197807E1,2.352508545E0
1.470486484E0,-4.649917603E0,1.068510818E1,2.342926025E0
1.475521884E0,-4.600807190E0,1.054885674E1,2.526191711E0
1.480526767E0,-4.684654236E0,1.017633629E1,3.103239059E0
1.485531650E0,-5.023336411E0,9.976600647E0,3.206251144E0
1.490536533E0,-5.267690659E0,9.790939331E0,3.773715973E0
1.495541415E0,-5.778858185E0,9.696311951E0,3.659923553E0
1.500576816E0,-6.191804886E0,9.467828751E0,2.819356918E0
1.505581699E0,-6.429870605E0,9.082431793E0,2.329750061E0
1.510586581E0,-6.897916794E0,8.693141937E0,1.970705032E0
1.515591464E0,-7.162633896E0,8.512571335E0,2.158761978E0
1.520596347E0,-7.222524643E0,8.475439072E0,2.339332581E0
1.525631747E0,-7.165029526E0,8.433515549E0,2.211465836E0
1.530636630E0,-7.185392380E0,8.213117599E0,2.182718277E0
1.535641513E0,-7.296789169E0,8.040931702E0,2.131212234E0
1.540646396E0,-7.351888657E0,8.036140442E0,1.820978165E0
1.545651279E0,-7.392314911E0,7.954689026E0,1.591297150E0
1.550686679E0,-7.537250519E0,7.824127197E0,1.458339691E0
1.555691562E0,-7.573184967E0,7.571687698E0,1.386470795E0
1.560696445E0,-7.579174042E0,7.403993607E0,1.193922043E0
1.565701328E0,-7.653438568E0,7.262651443E0,1.025030136E0
1.570706210E0,-7.738483429E0,7.144067764E0,8.609294891E-1
1.575741611E0,-7.821132660E0,6.988651276E0,7.462387085E-1
1.580746494E0,-7.725307465E0,6.819759369E0,4.252243042E-1
1.585751376E0,-7.480953217E0,6.569715500E0,6.857490540E-2
1.590756259E0,-7.203359604E0,6.336141586E0,-2.461509705E-1
1.595761142E0,-7.095556259E0,6.146886826E0,-4.569664001E-1
1.600796542E0,-6.944631577E0,6.082504272E0,-8.160114288E-1
1.605801425E0,-6.840721130E0,6.008239746E0,-1.062761307E0
1.610806308E0,-6.801193237E0,5.866897583E0,-1.128641129E0
1.615811191E0,-6.782028198E0,5.726753235E0,-1.063959122E0
1.620816074E0,-6.724533081E0,5.564149857E0,-9.717273712E-1
1.625851474E0,-6.868270874E0,5.523424149E0,-8.770999908E-1
1.630856357E0,-7.119512558E0,5.616554260E0,-9.525623322E-1
1.635861240E0,-7.277624130E0,5.549776077E0,-8.974628448E-1
1.640866122E0,-7.545635223E0,5.203607559E0,-9.513645172E-1
1.645871005E0,-8.223299026E0,4.945178986E0,-9.214191437E-1
1.650906406E0,-8.469749451E0,4.703220367E0,-5.084724426E-1
1.655911289E0,-8.641036987E0,4.384901047E0,-4.162406921E-1
1.660916171E0,-9.012060165E0,4.651714325E0,-2.605247498E-2
1.665921054E0,-8.967741013E0,5.252717972E0,1.034612656E0
1.670925937E0,-8.350267410E0,5.383279800E0,1.691913605E0
1.675961337E0,-8.146638870E0,5.397653580E0,2.025804520E0
1.680966220E0,-7.873836517E0,5.455148697E0,2.347717285E0
1.685971103E0,-8.028055191E0,5.549776077E0,2.323760986E0
1.690975986E0,-7.740879059E0,5.578523636E0,2.074914932E0
1.695980869E0,-7.464183807E0,5.439577103E0,1.974298477E0
1.701016269E0,-7.303976059E0,5.419214249E0,1.823373795E0
1.706021152E0,-6.927862167E0,5.385675430E0,1.757793427E0
1.711026035E0,-6.342729568E0,5.300630569E0,1.768573761E0
1.716030917E0,-5.751308441E0,5.291048050E0,1.628429413E0
1.721035800E0,-5.181447983E0,5.440774918E0,1.422405243E0
1.726071201E0,-4.466651917E0,5.499467850E0,1.351734161E0
1.731076083E0,-3.783298492E0,5.552171707E0,1.069349289E0
1.736080966E0,-3.048139572E0,5.474313736E0,6.827545166E-1
1.741085849E0,-2.398025513E0,5.492280960E0,3.617401123E-1
1.746090732E0,-1.683528900E0,5.555765152E0,2.362689972E-1
1.751095615E0,-9.495677948E-1,5.664466858E0,-7.501316071E-1
1.756131015E0,-2.698078156E-1,6.673625946E0,-1.810796738E0
1.761135898E0,6.102867126E-1,5.802215576E0,-2.150976181E0
1.766140781E0,2.964591980E-2,5.657279968E0,-2.180921555E0
1.771145664E0,-6.540069580E-1,5.803413391E0,-1.942556381E0
1.776150546E0,-1.745815277E0,5.708786011E0,-3.048738480E0
1.781185947E0,-1.991067886E0,5.662071228E0,-2.470493317E0
1.786190830E0,-2.024606705E0,4.890079498E0,-1.119058609E0
1.791195712E0,-2.469894409E0,3.818634033E0,-1.107080460E0
1.796200595E0,-2.315675735E0,4.091735840E0,-6.270561218E-1
1.801205478E0,-2.280939102E0,3.475160599E0,4.581642151E-2
1.806240878E0,-2.390838623E0,3.566194534E0,8.381710052E-1
1.811245761E0,-2.720237732E0,3.125398636E0,7.902584076E-1
1.816250644E0,-2.723831177E0,3.676094055E0,2.350711823E-1
1.821255527E0,-2.655555725E0,4.007888794E0,1.946449280E-2
1.826260410E0,-3.185888290E0,4.467550278E0,-4.869117737E-1
1.831295810E0,-2.957105637E0,4.714000702E0,-1.323585510E0
1.836300693E0,-3.160734177E0,5.146112442E0,-1.165773392E0
1.841305576E0,-2.740600586E0,6.366086960E0,-5.120658875E-2
1.846310458E0,-2.678314209E0,7.540544510E0,9.076442719E-1
1.851315341E0,-2.004243851E0,8.464658737E0,2.532180786E0
1.856350742E0,-1.542186737E0,8.900363922E0,3.219427109E0
1.861355624E0,9.633426666E-1,9.687927246E0,5.871988297E0
1.866360507E0,2.153371811E0,1.159035683E1,8.116693497E0
1.871365390E0,1.059167862E0,1.278487778E1,8.897069931E0
1.876370273E0,2.751680374E0,1.414739227E1,8.694938660E0
1.881405673E0,8.231983185E-1,1.615133667E1,6.151079178E0
1.886410556E0,-6.971282959E-1,1.164785194E1,-2.521999359E0
1.891415439E0,2.501636505E0,1.569856262E1,-7.132987976E-1
1.896420322E0,-4.107606888E0,1.149333382E1,-4.503185272E0
1.901425205E0,2.981660843E0,1.450164604E1,-9.034519196E-1
1.906460605E0,-7.030874252E0,1.009039307E1,-1.506851196E0
1.911465488E0,-5.874683380E0,7.279420853E0,-4.056699753E0
1.916470371E0,-1.764980316E0,9.504961014E0,-1.355926514E0
1.921475253E0,-3.701847076E0,9.325288773E0,1.706886292E-2
1.926480136E0,-6.147485733E0,6.886837006E0,-4.509773254E-1
1.931485019E0,-4.522949219E0,5.635719299E0,-9.944858551E-1
1.936520419E0,-4.472640991E0,5.648895264E0,-1.794027328E0
1.941525302E0,-4.763710022E0,5.739929199E0,-3.671302795E-1
1.946530185E0,-4.501388550E0,5.491083145E0,1.414020538E0
1.951535068E0,-3.746166229E0,5.598886490E0,2.657951355E0
1.956539951E0,-2.077310562E0,5.687225342E0,3.072095871E0
1.961544833E0,-1.144811630E0,6.640087128E0,3.164327621E0
1.966580234E0,-2.494449615E-1,8.000205994E0,3.413173676E0
1.971585117E0,1.698202133E0,8.713504791E0,3.052930832E0
1.976589999E0,3.187385559E0,1.051172447E1,1.505054474E0
1.981594882E0,4.803537369E0,1.296095657E1,1.563747406E0
1.986599765E0,4.965242386E0,1.346853065E1,1.174757004E0
1.991604648E0,4.790361404E0,1.307355118E1,-2.365684509E-2
1.996609531E0,5.140123367E0,1.255399895E1,-6.869468689E-1
2.001644931E0,4.762811661E0,1.216710472E1,-1.405036926E0
2.006649814E0,4.251644135E0,1.175894928E1,-1.910215378E0
2.011654697E0,3.699750900E0,1.165833282E1,-2.658550262E0
2.016659580E0,2.879846573E0,1.167510223E1,-3.436531067E0
2.021694980E0,2.827142715E0,1.187154388E1,-3.691665649E0
2.026699863E0,2.489658356E0,1.209553528E1,-3.817136765E0
2.031735263E0,2.161457062E0,1.298251724E1,-3.954885483E0
2.036740146E0,2.181819916E0,1.369701385E1,-3.832708359E0
2.041745029E0,1.596687317E0,1.430640221E1,-4.048315048E0
2.046749912E0,1.642204285E0,1.502119827E1,-4.587032318E0
