"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.349590314E0,-3.134732723E0,-1.640892029E0,-4.303040981E0
1.354595196E0,-3.294523716E0,-2.880723000E0,-4.248557568E0
1.359630597E0,-2.898760319E0,-4.166362762E0,-2.871664524E0
1.364635480E0,-4.387645721E0,-6.237940788E0,-8.490553498E-1
1.369640362E0,-4.530516624E0,-8.415939331E0,-2.960736752E-1
1.374645245E0,-2.391152620E0,-9.361328125E0,5.860445499E-1
1.379650128E0,3.981809616E-1,-9.956956863E0,1.990006447E0
1.384685528E0,4.517025471E0,-1.020157051E1,2.063879013E0
1.389690411E0,8.335475922E0,-9.678715706E0,2.253554821E0
1.394695294E0,1.001726437E1,-8.949867249E0,2.055678368E0
1.399700177E0,1.019607925E1,-7.982259750E0,1.406890631E0
1.404705060E0,7.206321239E0,-7.437625885E0,1.028743744E0
1.409740460E0,5.606626511E0,-6.877452850E0,-1.526461124E0
1.414745343E0,5.656525612E0,-5.627588272E0,-4.396902561E0
1.419750226E0,5.604737282E0,-3.956686020E0,-5.540266514E0
1.424755109E0,5.576155186E0,-1.591465950E0,-6.400841236E0
1.429759991E0,5.165956497E0,1.497263908E0,-7.434582710E0
1.434795392E0,4.325426579E0,3.631686211E0,-7.151754379E0
1.439800275E0,4.071667671E0,4.496546745E0,-6.990905762E0
1.444805157E0,4.865813255E0,5.011601448E0,-6.259506702E0
1.449810040E0,6.228738785E0,5.522673607E0,-5.642839432E0
1.454814923E0,8.478268623E0,7.390535355E0,-5.000099659E0
1.459819806E0,1.080668640E1,9.526559830E0,-3.354075432E0
1.464855206E0,1.196508598E1,1.159746838E1,7.190811634E-2
1.469860089E0,1.029562759E1,1.312649536E1,2.888991356E0
1.474864972E0,7.803487778E0,1.386788464E1,4.560742855E0
1.479869855E0,6.505166054E0,1.519902325E1,6.513520718E0
1.484874737E0,3.999888897E0,1.509688282E1,7.212181568E0
1.489910138E0,5.428392887E-1,1.305379772E1,6.326683521E0
1.494915021E0,-1.872101784E0,9.459626198E0,5.338353634E0
1.499919903E0,-3.290474415E0,5.595028877E0,2.242220879E0
1.504924786E0,-6.393604279E0,1.608625412E0,-1.654908061E0
1.509929669E0,-6.762768745E0,-2.344627380E-1,-1.832679152E0
1.514934552E0,-6.224263191E0,-1.044423103E0,-1.176489234E0
1.519969952E0,-6.213731289E0,-1.796396255E0,-1.614534855E0
1.525005353E0,-5.849760532E0,-1.815607071E0,-1.066052675E0
1.530010235E0,-5.343415260E0,-1.242980003E0,1.771658808E-1
1.535015118E0,-4.792289257E0,-5.278816223E-1,1.355998755E0
1.540020001E0,-4.064324379E0,1.560401917E-2,2.173595667E0
1.545024884E0,-3.493759394E0,5.730886459E-1,2.084112167E0
1.550029767E0,-3.579537630E0,8.871889114E-1,1.582332730E0
1.555034650E0,-4.105879784E0,7.254114151E-1,1.056294322E0
1.560070050E0,-4.705096245E0,4.493951797E-1,3.770645261E-1
1.565074933E0,-2.937582970E0,2.495870590E-1,4.476000369E-1
1.570079816E0,-1.863993645E0,-2.666864395E-1,2.939006388E-1
1.575084698E0,-1.518156052E0,-8.853578568E-1,-8.574550599E-2
